openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
60,oob,0.01,100,100,100,0,4.5,268.0,4.7,0.26241,0.23493,0.02691,0.0016469999999999,3336420.0,149284.0,26701.3
60,oob,0.1,3,3,10,0,4.5,13.8,58.4,0.41037,0.26501,0.17487,0.031727,171798.2,7687.62,1374.94
61,oob,0.001,100,100,100000,0,4.333333333333333,3212.0,2.0,0.0723999999999999,0.0771444444444444,0.0011777777777777,0.0001455555555555,3553342.1,837986.6000000001,81711.29999999999
61,oob,0.01,100,100,100,0,4.333333333333333,222.22222222222223,4.888888888888889,0.0871333333333333,0.0768,0.0159111111111111,-0.0001988888888888,245763.22222222225,57968.22222222222,5648.111111111111
61,oob,0.1,3,3,10,0,4.333333333333333,12.22222222222222,58.0,0.2053555555555555,0.0896555555555555,0.1341333333333333,0.0126566666666666,13516.933333333332,3188.311111111111,310.5777777777778
154,oob,0.001,100,100,100000,0,5.0,3388.0,2.0,0.4465777777777777,0.4426777777777778,0.0018444444444444,0.0001,2423737911.1000004,516240871.3,114928496.1
154,oob,0.01,100,100,100,0,5.0,250.0,4.222222222222222,0.4656111111111111,0.4445111111111111,0.0208777777777777,0.0019333333333333,178873986.1111111,38112963.88888889,8496869.444444444
154,oob,0.1,3,3,10,0,5.0,12.0,56.66666666666666,0.6094666666666666,0.4806,0.1647333333333333,0.0380222222222222,8585951.333333334,1829422.2666666664,407849.7333333333
179,oob,0.001,100,100,100000,0,4.5,2128.5,2.0,0.23807,0.23789,0.00095,5e-06,75833192.16,13857382.44,1552492.26
179,oob,0.01,100,100,100,0,4.5,213.0,4.8,0.25024,0.2384,0.01312,0.000515,7586462.2,1387603.5,155356.2
179,oob,0.1,3,3,10,0,4.5,12.0,58.5,0.36867,0.24931,0.13155,0.011425,427461.48,78169.43999999999,8752.2
180,oob,0.001,100,100,100000,0,4.5,3732.3,2.0,0.2311399999999999,0.22565,0.00217,8e-05,484524184.32,61802266.67999999,8758285.47
180,oob,0.01,100,100,100,0,4.5,250.0,4.2,0.25222,0.2270599999999999,0.02325,0.00149,32461620.0,4139187.5,586615.0
180,oob,0.1,3,3,10,0,4.5,13.8,57.9,0.38873,0.25278,0.1597599999999999,0.02721,1791817.66,228513.86,32377.2
181,oob,0.001,100,100,100000,0,4.25,3069.0,2.0,0.519325,0.5323,0.001885,-2.4999999999999994e-05,5869010.8125,1115826.525,195862.8375
181,oob,0.01,100,100,100,0,4.25,248.75,4.375,0.5376625,0.533475,0.0202225,0.00115,475964.375,90433.625,15822.875
181,oob,0.1,3,3,10,0,4.25,13.0,59.375,0.6709,0.57015,0.15346,0.037825,24880.825,4726.85,825.35
