openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
422,oob,0.1,2,2,10,0,4.5,5.0,129.0,0.1002194,0.049417,0.059818,0.009244,5039363.85,7877.95,702.75
482,oob,0.001,100,100,1000,0,4.5,214.0,9.2,0.0019905,0.001581,0.000186,4.7e-05,326937.1,56910.3,13382.1
482,oob,0.01,10,10,100,0,4.5,20.7,18.3,0.0028233,0.0016336,0.00102,9.8e-05,31699.890000000003,5501.52,1292.49
482,oob,0.1,2,2,10,0,4.5,2.0,160.1,0.0064544,0.0023761,0.004649,0.000842,3057.94,531.64,124.94
503,oob,0.001,100,100,1000,0,4.5,1065.0,11.8,0.0104037,0.0089036,0.0011519999999999,1.2e-05,30616810.5,669417.5,117479.6
503,oob,0.01,10,10,100,0,4.5,80.1,15.1,0.0176124,0.009062,0.008362,0.000171,2302697.43,50344.92,8834.76
503,oob,0.1,2,2,10,0,4.5,5.0,128.7,0.0661406,0.016168,0.056891,0.007278,143742.85,3142.9,551.45
505,oob,0.001,100,100,1000,0,4.5,1252.0,11.9,0.0029963,0.0017028999999999,0.001366,7.000000000000001e-06,4894644.6,329189.7,78844.2
505,oob,0.01,10,10,100,0,4.5,93.6,14.4,0.0121339,0.0017871999999999,0.010504,9.2e-05,365918.58,24607.8,5895.0
505,oob,0.1,2,2,10,0,4.5,5.6,127.7,0.0824516,0.0092494999999999,0.080823,0.007552,21889.5,1472.39,352.82
507,oob,0.001,100,100,1000,0,4.5,1296.0,12.0,0.0265994,0.0249237,0.001395,3.5e-05,8838907.2,541390.6,116391.0
507,oob,0.01,10,10,100,0,4.5,97.2,14.9,0.0359397,0.0251714,0.0107359999999999,0.000281,663002.1,40609.08,8737.560000000001
507,oob,0.1,2,2,10,0,4.5,6.7,126.1,0.0968714,0.0338041,0.071668,0.008914,45700.03,2798.78,601.1800000000001
509,oob,0.001,100,100,1000,0,4.5,2003.0,12.9,0.0249222,0.0202859,0.002365,-4.9e-05,3004836.1,509619.2,125782.1
509,oob,0.01,10,10,100,0,4.5,149.4,12.9,0.0408112,0.0202211,0.018253,-0.0001119999999999,224050.77,38007.990000000005,9384.21
509,oob,0.1,2,2,10,0,4.5,10.8,111.2,0.1469176,0.0259398,0.124362,0.005606,16198.490000000002,2747.29,678.22
511,oob,0.001,100,100,1000,0,4.5,810.0,11.1,0.0209992,0.0198378,0.000744,-5.399999999999999e-05,1372781.0,208204.0,51575.3
511,oob,0.01,10,10,100,0,4.5,72.0,14.9,0.0270223,0.0195674,0.006767,-0.000325,121976.37,18501.75,4585.2300000000005
511,oob,0.1,2,2,10,0,4.5,4.0,134.6,0.0761968,0.0257283,0.055941,0.005837,6769.24,1027.6799999999998,254.44
512,oob,0.001,100,100,1000,0,4.5,1574.0,12.4,0.0249007,0.0225672,0.001694,-8.000000000000001e-06,1748443.3,454484.6,116860.8
512,oob,0.01,10,10,100,0,4.5,117.0,13.9,0.0364913,0.02262,0.013286,4.6e-05,129956.58,33781.41,8684.91
512,oob,0.1,2,2,10,0,4.5,8.0,122.5,0.1161032999999999,0.0283339999999999,0.092899,0.0057599999999999,8885.92,2309.84,593.8399999999999
531,oob,0.001,100,100,1000,0,4.5,1201.0,12.0,0.0109839,0.0099049,0.001448,-8.000000000000001e-06,2484021.6,322526.5,77030.1
531,oob,0.01,10,10,100,0,4.5,89.1,14.9,0.0199495,0.0100951,0.010413,0.000185,184292.46,23926.32,5714.46
531,oob,0.1,2,2,10,0,4.5,6.4,126.7,0.0759999,0.0166377,0.066464,0.006726,13238.39,1718.7400000000002,410.46
536,oob,0.001,100,100,1000,0,4.5,222.0,9.1,0.0008434,0.0004167,0.000199,3.3e-05,359360.2,59124.2,13918.5
536,oob,0.01,10,10,100,0,4.5,18.0,18.9,0.0018236,0.0005756,0.001181,0.000194,29115.0,4795.38,1126.98
536,oob,0.1,2,2,10,0,4.5,2.0,160.8,0.0045259,0.0015620999999999,0.003881,0.00118,3235.0,532.8199999999999,125.22
541,oob,0.001,100,100,1000,0,4.5,794.0,11.8,0.0075186,0.00616,0.000841,6.000000000000001e-06,1977674.6,241568.3,56301.5
541,oob,0.01,10,10,100,0,4.5,59.4,16.5,0.0127919,0.0063506999999999,0.006115,0.000193,147955.05,18067.41,4212.09
541,oob,0.1,2,2,10,0,4.5,3.8,137.9,0.0472144,0.0129129,0.040538,0.006756,9464.73,1155.55,269.37
546,oob,0.001,100,100,1000,0,4.5,1147.0,12.0,0.0215333,0.0206511,0.001215,2.2000000000000003e-05,1745955.3,308800.5,74687.4
546,oob,0.01,10,10,100,0,4.5,89.1,15.0,0.0297752,0.0210034,0.009457,0.000375,135602.28,23984.64,5800.77
546,oob,0.1,2,2,10,0,4.5,5.7,129.5,0.0869738,0.0296945,0.066654,0.009065,8677.22,1534.63,371.23
547,oob,0.001,100,100,1000,0,4.5,1228.0,11.7,0.0351901,0.0345438,0.001667,2.7e-05,2046607.8,326561.7,78331.1
547,oob,0.01,10,10,100,0,4.5,92.7,14.6,0.0450503,0.035149,0.011529,0.00063,154482.3,24646.5,5914.62
547,oob,0.1,2,2,10,0,4.5,6.1,126.5,0.1078349,0.043413,0.074312,0.008894,10163.56,1621.9,389.22
549,oob,0.001,100,100,1000,0,4.5,913.0,11.3,0.0372229,0.0356378,0.000946,3.699999999999999e-05,1478960.2,247223.4,59897.4
549,oob,0.01,10,10,100,0,4.5,76.5,14.8,0.0442098,0.0360851,0.0079329999999999,0.0004839999999999,123874.11000000002,20707.74,5017.05
549,oob,0.1,2,2,10,0,4.5,5.0,129.6,0.0909493,0.0465034,0.054674,0.010902,8095.530000000001,1353.49,327.72
550,oob,0.001,100,100,1000,0,4.5,448.0,10.6,0.0319971999999999,0.0335067,0.00033,5.8e-05,1742467.7,155963.3,34347.1
550,oob,0.01,10,10,100,0,4.5,36.9,17.5,0.0348357,0.0339284,0.003169,0.0004779999999999,143370.9,12847.59,2829.06
550,oob,0.1,2,2,10,0,4.5,2.0,161.3,0.0513683,0.0399196,0.019701,0.00647,7771.0,696.3,153.34
558,oob,0.001,100,100,1000,0,4.5,1235.0,12.0,0.0487037,0.0476064,0.001456,5.2e-05,121501044.5,929622.1,182669.7
558,oob,0.01,10,10,100,0,4.5,88.2,14.6,0.0575389999999999,0.0483094,0.0102919999999999,0.000755,8677812.33,66400.11,13037.76
558,oob,0.1,2,2,10,0,4.5,5.2,126.4,0.1154381,0.061043,0.068192,0.013488,511601.85,3916.22,768.55
560,oob,0.001,100,100,1000,0,4.5,1389.0,12.1,0.0034518,0.0011312,0.001514,1e-06,1972961.4,349781.8,85519.3
560,oob,0.01,10,10,100,0,4.5,103.5,14.1,0.0135633,0.0011845,0.011627,5.5e-05,147002.13,26062.65,6370.469999999999
